"Provincia"	"Municipio"	"Partido"	"VotosMuni"
"1"	"AVILA"	"ADANERO"	"ÁvilaLP"	5
"2"	"AVILA"	"ADANERO"	"Cs"	19
"3"	"AVILA"	"ADANERO"	"FE de las JONS"	0
"4"	"AVILA"	"ADANERO"	"IU"	1
"5"	"AVILA"	"ADANERO"	"PACMA"	1
"6"	"AVILA"	"ADANERO"	"Podemos"	2
"7"	"AVILA"	"ADANERO"	"PP"	67
"8"	"AVILA"	"ADANERO"	"PSOE"	41
"9"	"AVILA"	"ADANERO"	"VOX"	15
"10"	"AVILA"	"ADANERO"	"XAV"	9
"11"	"AVILA"	"ADANERO"	"Votos en blanco"	0
"12"	"AVILA"	"ADANERO"	"Votos nulos"	0
"13"	"AVILA"	"ALBORNOS"	"ÁvilaLP"	1
"14"	"AVILA"	"ALBORNOS"	"Cs"	33
"15"	"AVILA"	"ALBORNOS"	"FE de las JONS"	1
"16"	"AVILA"	"ALBORNOS"	"IU"	0
"17"	"AVILA"	"ALBORNOS"	"PACMA"	1
"18"	"AVILA"	"ALBORNOS"	"Podemos"	3
"19"	"AVILA"	"ALBORNOS"	"PP"	51
"20"	"AVILA"	"ALBORNOS"	"PSOE"	35
"21"	"AVILA"	"ALBORNOS"	"VOX"	10
"22"	"AVILA"	"ALBORNOS"	"XAV"	4
"23"	"AVILA"	"ALBORNOS"	"Votos en blanco"	6
"24"	"AVILA"	"ALBORNOS"	"Votos nulos"	3
"25"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"ÁvilaLP"	1
"26"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"Cs"	3
"27"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"FE de las JONS"	1
"28"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"IU"	0
"29"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"PACMA"	0
"30"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"Podemos"	1
"31"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"PP"	53
"32"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"PSOE"	8
"33"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"VOX"	9
"34"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"XAV"	0
"35"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"Votos en blanco"	2
"36"	"AVILA"	"ALDEANUEVA DE SANTA CRUZ"	"Votos nulos"	1
"37"	"AVILA"	"ALDEASECA"	"ÁvilaLP"	1
"38"	"AVILA"	"ALDEASECA"	"Cs"	13
"39"	"AVILA"	"ALDEASECA"	"FE de las JONS"	0
"40"	"AVILA"	"ALDEASECA"	"IU"	1
"41"	"AVILA"	"ALDEASECA"	"PACMA"	0
"42"	"AVILA"	"ALDEASECA"	"Podemos"	2
"43"	"AVILA"	"ALDEASECA"	"PP"	85
"44"	"AVILA"	"ALDEASECA"	"PSOE"	61
"45"	"AVILA"	"ALDEASECA"	"VOX"	9
"46"	"AVILA"	"ALDEASECA"	"XAV"	0
"47"	"AVILA"	"ALDEASECA"	"Votos en blanco"	2
"48"	"AVILA"	"ALDEASECA"	"Votos nulos"	4
"49"	"AVILA"	"AMAVIDA"	"ÁvilaLP"	21
"50"	"AVILA"	"AMAVIDA"	"Cs"	15
"51"	"AVILA"	"AMAVIDA"	"FE de las JONS"	0
"52"	"AVILA"	"AMAVIDA"	"IU"	0
"53"	"AVILA"	"AMAVIDA"	"PACMA"	0
"54"	"AVILA"	"AMAVIDA"	"Podemos"	1
"55"	"AVILA"	"AMAVIDA"	"PP"	31
"56"	"AVILA"	"AMAVIDA"	"PSOE"	24
"57"	"AVILA"	"AMAVIDA"	"VOX"	13
"58"	"AVILA"	"AMAVIDA"	"XAV"	0
"59"	"AVILA"	"AMAVIDA"	"Votos en blanco"	1
"60"	"AVILA"	"AMAVIDA"	"Votos nulos"	0
"61"	"AVILA"	"ARENAS DE SAN PEDRO"	"ÁvilaLP"	2
"62"	"AVILA"	"ARENAS DE SAN PEDRO"	"Cs"	357
"63"	"AVILA"	"ARENAS DE SAN PEDRO"	"FE de las JONS"	3
"64"	"AVILA"	"ARENAS DE SAN PEDRO"	"IU"	111
"65"	"AVILA"	"ARENAS DE SAN PEDRO"	"PACMA"	30
"66"	"AVILA"	"ARENAS DE SAN PEDRO"	"Podemos"	213
"67"	"AVILA"	"ARENAS DE SAN PEDRO"	"PP"	1586
"68"	"AVILA"	"ARENAS DE SAN PEDRO"	"PSOE"	1345
"69"	"AVILA"	"ARENAS DE SAN PEDRO"	"VOX"	188
"70"	"AVILA"	"ARENAS DE SAN PEDRO"	"XAV"	12
"71"	"AVILA"	"ARENAS DE SAN PEDRO"	"Votos en blanco"	32
"72"	"AVILA"	"ARENAS DE SAN PEDRO"	"Votos nulos"	53
"73"	"AVILA"	"AREVALILLO"	"ÁvilaLP"	0
"74"	"AVILA"	"AREVALILLO"	"Cs"	3
"75"	"AVILA"	"AREVALILLO"	"FE de las JONS"	0
"76"	"AVILA"	"AREVALILLO"	"IU"	1
"77"	"AVILA"	"AREVALILLO"	"PACMA"	0
"78"	"AVILA"	"AREVALILLO"	"Podemos"	34
"79"	"AVILA"	"AREVALILLO"	"PP"	11
"80"	"AVILA"	"AREVALILLO"	"PSOE"	0
"81"	"AVILA"	"AREVALILLO"	"VOX"	1
"82"	"AVILA"	"AREVALILLO"	"XAV"	1
"83"	"AVILA"	"AREVALILLO"	"Votos en blanco"	1
"84"	"AVILA"	"AREVALILLO"	"Votos nulos"	1
"85"	"AVILA"	"AREVALO"	"ÁvilaLP"	23
"86"	"AVILA"	"AREVALO"	"Cs"	563
"87"	"AVILA"	"AREVALO"	"FE de las JONS"	3
"88"	"AVILA"	"AREVALO"	"IU"	59
"89"	"AVILA"	"AREVALO"	"PACMA"	37
"90"	"AVILA"	"AREVALO"	"Podemos"	166
"91"	"AVILA"	"AREVALO"	"PP"	2014
"92"	"AVILA"	"AREVALO"	"PSOE"	1280
"93"	"AVILA"	"AREVALO"	"VOX"	379
"94"	"AVILA"	"AREVALO"	"XAV"	27
"95"	"AVILA"	"AREVALO"	"Votos en blanco"	57
"96"	"AVILA"	"AREVALO"	"Votos nulos"	61
"97"	"AVILA"	"AVEINTE"	"ÁvilaLP"	1
"98"	"AVILA"	"AVEINTE"	"Cs"	4
"99"	"AVILA"	"AVEINTE"	"FE de las JONS"	1
"100"	"AVILA"	"AVEINTE"	"IU"	2
"101"	"AVILA"	"AVEINTE"	"PACMA"	0
"102"	"AVILA"	"AVEINTE"	"Podemos"	4
"103"	"AVILA"	"AVEINTE"	"PP"	44
"104"	"AVILA"	"AVEINTE"	"PSOE"	14
"105"	"AVILA"	"AVEINTE"	"VOX"	3
"106"	"AVILA"	"AVEINTE"	"XAV"	4
"107"	"AVILA"	"AVEINTE"	"Votos en blanco"	1
"108"	"AVILA"	"AVEINTE"	"Votos nulos"	0
"109"	"AVILA"	"AVELLANEDA"	"ÁvilaLP"	3
"110"	"AVILA"	"AVELLANEDA"	"Cs"	0
"111"	"AVILA"	"AVELLANEDA"	"FE de las JONS"	0
"112"	"AVILA"	"AVELLANEDA"	"IU"	0
"113"	"AVILA"	"AVELLANEDA"	"PACMA"	0
"114"	"AVILA"	"AVELLANEDA"	"Podemos"	4
"115"	"AVILA"	"AVELLANEDA"	"PP"	6
"116"	"AVILA"	"AVELLANEDA"	"PSOE"	3
"117"	"AVILA"	"AVELLANEDA"	"VOX"	0
"118"	"AVILA"	"AVELLANEDA"	"XAV"	3
"119"	"AVILA"	"AVELLANEDA"	"Votos en blanco"	0
"120"	"AVILA"	"AVELLANEDA"	"Votos nulos"	0
"121"	"AVILA"	"AVILA"	"ÁvilaLP"	314
"122"	"AVILA"	"AVILA"	"Cs"	5362
"123"	"AVILA"	"AVILA"	"FE de las JONS"	39
"124"	"AVILA"	"AVILA"	"IU"	484
"125"	"AVILA"	"AVILA"	"PACMA"	208
"126"	"AVILA"	"AVILA"	"Podemos"	1162
"127"	"AVILA"	"AVILA"	"PP"	7647
"128"	"AVILA"	"AVILA"	"PSOE"	8113
"129"	"AVILA"	"AVILA"	"VOX"	2087
"130"	"AVILA"	"AVILA"	"XAV"	6244
"131"	"AVILA"	"AVILA"	"Votos en blanco"	214
"132"	"AVILA"	"AVILA"	"Votos nulos"	226
"133"	"AVILA"	"BARROMAN"	"ÁvilaLP"	0
"134"	"AVILA"	"BARROMAN"	"Cs"	16
"135"	"AVILA"	"BARROMAN"	"FE de las JONS"	0
"136"	"AVILA"	"BARROMAN"	"IU"	0
"137"	"AVILA"	"BARROMAN"	"PACMA"	1
"138"	"AVILA"	"BARROMAN"	"Podemos"	2
"139"	"AVILA"	"BARROMAN"	"PP"	87
"140"	"AVILA"	"BARROMAN"	"PSOE"	26
"141"	"AVILA"	"BARROMAN"	"VOX"	6
"142"	"AVILA"	"BARROMAN"	"XAV"	22
"143"	"AVILA"	"BARROMAN"	"Votos en blanco"	4
