Partido, Color
PCPE,
PCTE,
PTE,#FF0000
IU,#C8102E
PCE,#BF0E1D
PUM+J,
Podemos,#593366
PACMA,#ADBE00
IZCA,
PNC,#660099
PCAS,#660099
PANCAL,
ahoraDecide,
PSOE,#FF0000
PREPAL,#B70B57
CBierzo,
AHORADECIDE,
AHORADECIDE/AS,
UPL,#C71585
UNLE,#C71585
PDB,#2A52BE
PB,#2A52BE
IDES,
LV,#74b32a
CRA,
IPL,
TyF,
ZU,
IR,
APB,
PRB,
CB,
USEBIERZO,
URCL,#808080
SY,#1D1D1B
ESPANAVACIADA,#1D1D1B
SI,
USI,
PPB,
ÁvilaLP,
UPyD,#E9008C
CI,#808080
CCD,#049456
CI-CCD,#049456
CONTIGO,
UPSa,#00009f
LVE,
Cs,#EB6109
MASS,#00FF00
CDS,#049456
PDP,#70BA70
PDL,#188AC6
PPSO,#C71585
DRCL,
AIAV,
PP,#1E90FF
XAV,#F7D70E
AP,#FFD42A
VOX,#63BE21
FEdelasJONS,
FE-JONS,
Votos en blanco,#808080
Empate,#808080
