"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"1" "AVILA" "ADANERO" "Cs" 2 1.88679245283019 1926 2.35728972877705 54538 4.49204802565849
"2" "AVILA" "ADANERO" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"3" "AVILA" "ADANERO" "PACMA" 1 0.943396226415094 367 0.449182414569666 6508 0.536034481480536
"4" "AVILA" "ADANERO" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"5" "AVILA" "ADANERO" "Podemos" 1 0.943396226415094 2984 3.65220797023402 61666 5.07914909879821
"6" "AVILA" "ADANERO" "PP" 41 38.6792452830189 27829 34.060755899344 381498 31.4222622335374
"7" "AVILA" "ADANERO" "PSOE" 23 21.6981132075472 19764 24.1897581513757 364528 30.0245202005434
"8" "AVILA" "ADANERO" "PYC(ANULADA)" 0 0 0 0 0 0
"9" "AVILA" "ADANERO" "VOX" 23 21.6981132075472 14246 17.4361108391266 214223 17.6445781693615
"10" "AVILA" "ADANERO" "XAV" 13 12.2641509433962 13690 16.755605600705 13861 1.14166778546431
"11" "AVILA" "ADANERO" "Votos en blanco" 2 1.88679245283019 625 0.764956428081856 12153 1.00098756199031
"12" "AVILA" "ALBORNOS" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"13" "AVILA" "ALBORNOS" "FEdelasJONS" 1 0.826446280991736 79 0.0966904925095467 317 0.0261098541225153
"14" "AVILA" "ALBORNOS" "PACMA" 1 0.826446280991736 367 0.449182414569666 6508 0.536034481480536
"15" "AVILA" "ALBORNOS" "PCAS" 1 0.826446280991736 194 0.237442475276608 2834 0.233423743164696
"16" "AVILA" "ALBORNOS" "Podemos" 1 0.826446280991736 2984 3.65220797023402 61666 5.07914909879821
"17" "AVILA" "ALBORNOS" "PP" 46 38.0165289256198 27829 34.060755899344 381498 31.4222622335374
"18" "AVILA" "ALBORNOS" "PSOE" 19 15.702479338843 19764 24.1897581513757 364528 30.0245202005434
"19" "AVILA" "ALBORNOS" "PYC(ANULADA)" 0 0 0 0 0 0
"20" "AVILA" "ALBORNOS" "VOX" 29 23.9669421487603 14246 17.4361108391266 214223 17.6445781693615
"21" "AVILA" "ALBORNOS" "XAV" 23 19.0082644628099 13690 16.755605600705 13861 1.14166778546431
"22" "AVILA" "ALBORNOS" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"23" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"24" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"25" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"26" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"27" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "Podemos" 0 0 2984 3.65220797023402 61666 5.07914909879821
"28" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "PP" 39 61.9047619047619 27829 34.060755899344 381498 31.4222622335374
"29" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "PSOE" 10 15.8730158730159 19764 24.1897581513757 364528 30.0245202005434
"30" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "PYC(ANULADA)" 0 0 0 0 0 0
"31" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "VOX" 10 15.8730158730159 14246 17.4361108391266 214223 17.6445781693615
"32" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "XAV" 2 3.17460317460317 13690 16.755605600705 13861 1.14166778546431
"33" "AVILA" "ALDEANUEVA DE SANTA CRUZ" "Votos en blanco" 2 3.17460317460317 625 0.764956428081856 12153 1.00098756199031
"34" "AVILA" "ALDEASECA" "Cs" 3 2.4390243902439 1926 2.35728972877705 54538 4.49204802565849
"35" "AVILA" "ALDEASECA" "FEdelasJONS" 1 0.813008130081301 79 0.0966904925095467 317 0.0261098541225153
"36" "AVILA" "ALDEASECA" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"37" "AVILA" "ALDEASECA" "PCAS" 1 0.813008130081301 194 0.237442475276608 2834 0.233423743164696
"38" "AVILA" "ALDEASECA" "Podemos" 4 3.2520325203252 2984 3.65220797023402 61666 5.07914909879821
"39" "AVILA" "ALDEASECA" "PP" 55 44.7154471544715 27829 34.060755899344 381498 31.4222622335374
"40" "AVILA" "ALDEASECA" "PSOE" 32 26.0162601626016 19764 24.1897581513757 364528 30.0245202005434
"41" "AVILA" "ALDEASECA" "PYC(ANULADA)" 0 0 0 0 0 0
"42" "AVILA" "ALDEASECA" "VOX" 19 15.4471544715447 14246 17.4361108391266 214223 17.6445781693615
"43" "AVILA" "ALDEASECA" "XAV" 7 5.69105691056911 13690 16.755605600705 13861 1.14166778546431
"44" "AVILA" "ALDEASECA" "Votos en blanco" 1 0.813008130081301 625 0.764956428081856 12153 1.00098756199031
"45" "AVILA" "AMAVIDA" "Cs" 3 3.15789473684211 1926 2.35728972877705 54538 4.49204802565849
"46" "AVILA" "AMAVIDA" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"47" "AVILA" "AMAVIDA" "PACMA" 1 1.05263157894737 367 0.449182414569666 6508 0.536034481480536
"48" "AVILA" "AMAVIDA" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"49" "AVILA" "AMAVIDA" "Podemos" 0 0 2984 3.65220797023402 61666 5.07914909879821
"50" "AVILA" "AMAVIDA" "PP" 31 32.6315789473684 27829 34.060755899344 381498 31.4222622335374
"51" "AVILA" "AMAVIDA" "PSOE" 20 21.0526315789474 19764 24.1897581513757 364528 30.0245202005434
"52" "AVILA" "AMAVIDA" "PYC(ANULADA)" 0 0 0 0 0 0
"53" "AVILA" "AMAVIDA" "VOX" 20 21.0526315789474 14246 17.4361108391266 214223 17.6445781693615
"54" "AVILA" "AMAVIDA" "XAV" 20 21.0526315789474 13690 16.755605600705 13861 1.14166778546431
"55" "AVILA" "AMAVIDA" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"56" "AVILA" "ARENAS DE SAN PEDRO" "Cs" 73 2.40924092409241 1926 2.35728972877705 54538 4.49204802565849
"57" "AVILA" "ARENAS DE SAN PEDRO" "FEdelasJONS" 4 0.132013201320132 79 0.0966904925095467 317 0.0261098541225153
"58" "AVILA" "ARENAS DE SAN PEDRO" "PACMA" 28 0.924092409240924 367 0.449182414569666 6508 0.536034481480536
"59" "AVILA" "ARENAS DE SAN PEDRO" "PCAS" 4 0.132013201320132 194 0.237442475276608 2834 0.233423743164696
"60" "AVILA" "ARENAS DE SAN PEDRO" "Podemos" 219 7.22772277227723 2984 3.65220797023402 61666 5.07914909879821
"61" "AVILA" "ARENAS DE SAN PEDRO" "PP" 1130 37.2937293729373 27829 34.060755899344 381498 31.4222622335374
