"Partido","Escanos"
"PCPE",0
"PCTE",0
"PTE",0
"IU",1
"PCE",0
"PUM+J",0
"Podemos",0
"PACMA",0
"IZCA",0
"PNC",0
"PCAS",0
"PANCAL",0
"ahoraDecide",0
"PSOE",29
"PREPAL",0
"CBierzo",0
"AHORADECIDE",0
"AHORADECIDE/AS",0
"UPL",1
"UNLE",0
"PDB",0
"PB",0
"IDES",0
"LV",0
"CRA",0
"IPL",0
"TyF",0
"ZU",0
"IR",0
"APB",0
"PRB",0
"CB",0
"USEBIERZO",0
"URCL",0
"SY",0
"ESPANAVACIADA",0
"SI",0
"USI",0
"PPB",0
"ÁvilaLP",0
"UPyD",0
"CI",0
"CCD",0
"CI-CCD",0
"CONTIGO",0
"UPSa",0
"LVE",0
"Cs",0
"MASS",0
"CDS",0
"PDP",0
"PDL",0
"PPSO",0
"DRCL",0
"AIAV",0
"PP",53
"XAV",0
"AP",0
"VOX",0
"FEdelasJONS",0
"FE-JONS",0
"Votos en blanco",0
"Empate",0
