Código.de.mesa;Provincia;Código.municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;PP;167
2;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;PSOE;71
3;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;IU;7
4;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;PNC;2
5;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;URCL;1
6;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;FE-JONS;0
7;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;319;130;219;252;0;4;PAE-I;0
8;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;PP;337
9;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;PSOE;212
10;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;IU;23
11;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;PNC;7
12;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;FE-JONS;2
13;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;PAE-I;2
14;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;814;346;533;633;33;17;URCL;0
15;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;PP;316
16;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;PSOE;274
17;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;IU;35
18;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;URCL;4
19;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;PNC;2
20;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;PAE-I;1
21;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;836;385;415;690;30;28;FE-JONS;0
22;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;PP;141
23;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;PSOE;48
24;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;IU;7
25;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;URCL;1
26;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;PAE-I;1
27;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;FE-JONS;1
28;05-005-1-001-U;AVILA;5;ALBORNOS;1;1;U;235;125;174;201;0;2;PNC;0
29;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;PP;122
30;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;IU;3
31;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;PSOE;3
32;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;URCL;0
33;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;PNC;0
34;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;FE-JONS;0
35;05-007-1-001-U;AVILA;7;ALDEANUEVA DE SANTA CRUZ;1;1;U;164;92;126;133;4;1;PAE-I;0
36;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;PP;167
37;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;PSOE;91
38;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;IU;6
39;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;FE-JONS;1
40;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;PAE-I;0
41;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;PNC;0
42;05-008-1-001-U;AVILA;8;ALDEASECA;1;1;U;303;147;234;273;5;3;URCL;0
43;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;PP;148
44;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;PSOE;33
45;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;IU;12
46;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;FE-JONS;1
47;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;URCL;0
48;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;PNC;0
49;05-010-1-001-U;AVILA;10;LA ALDEHUELA;1;1;U;261;124;177;201;4;3;PAE-I;0
50;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;PP;102
51;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;PSOE;48
52;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;IU;3
53;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;FE-JONS;1
54;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;PAE-I;1
55;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;URCL;1
56;05-012-1-001-U;AVILA;12;AMAVIDA;1;1;U;177;62;103;158;0;2;PNC;0
57;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;931;490;693;769;5;11;PSOE;364
58;05-013-1-001-U;AVILA;13;EL ARENAL;1;1;U;931;490;693;769;5;11;PP;363
