Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
1;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PP;41
2;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;VOX;23
3;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PSOE;23
4;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;XAV;13
5;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;Cs;2
6;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;Podemos;1
7;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PACMA;1
8;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PYC(ANULADA);0
9;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;PCAS;0
10;05-001-1-001-U;AVILA;1;ADANERO;1;1;U;173;49;85;108;2;2;FEdelasJONS;0
11;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PP;99
12;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PSOE;85
13;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;VOX;46
14;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;Podemos;21
15;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;XAV;17
16;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PACMA;7
17;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;Cs;7
18;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PCAS;0
19;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;PYC(ANULADA);0
20;05-002-1-001-A;AVILA;2;LA ADRADA;1;1;A;553;156;232;287;4;1;FEdelasJONS;0
21;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PSOE;108
22;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PP;82
23;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;VOX;37
24;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;XAV;25
25;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;Podemos;20
26;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;Cs;4
27;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PACMA;3
28;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PCAS;2
29;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;FEdelasJONS;0
30;05-002-1-001-B;AVILA;2;LA ADRADA;1;1;B;564;174;235;286;3;2;PYC(ANULADA);0
31;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PSOE;82
32;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PP;76
33;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;VOX;47
34;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;Podemos;40
35;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;XAV;15
36;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PACMA;1
37;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;Cs;1
38;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PCAS;1
39;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;FEdelasJONS;0
40;05-002-1-002-A;AVILA;2;LA ADRADA;1;2;A;543;161;215;272;4;5;PYC(ANULADA);0
41;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PSOE;86
42;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PP;76
43;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;VOX;48
44;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;Podemos;22
45;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;XAV;15
46;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;Cs;2
47;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PACMA;2
48;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PCAS;2
49;05-002-1-002-B;AVILA;2;LA ADRADA;1;2;B;477;136;205;263;8;2;PYC(ANULADA);0
